#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL
Streptococcus	gallolyticus	UCN34	NC_013798.1	2088638	2101864	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_013798.1&start=2088638&end=2101864
Streptococcus	gallolyticus	UCN34	NC_013798.1	2224701	2246740	lap	false	mutanocyclin/leuvalin/tyrvalin	15	BGC0002287	https://antismash-db.secondarymetabolites.org/area?record=NC_013798.1&start=2224701&end=2246740
Streptococcus	sanguinis	CCUG 59330	NZ_GL878514.1	2135469	2176648	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_GL878514.1&start=2135469&end=2176648
Streptococcus	sanguinis	CCUG 59331	NZ_GL878565.1	186231	227410	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_GL878565.1&start=186231&end=227410
Streptococcus	suis	TL13	NC_021213.1	1433961	1475116	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_021213.1&start=1433961&end=1475116
Streptococcus	suis	TL13	NC_021213.1	1818123	1830343	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_021213.1&start=1818123&end=1830343
Streptococcus	Unknown	12F/2	NZ_CPPE01000005.1	47496	69141	t3pks	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CPPE01000005.1&start=47496&end=69141
Streptococcus	Unknown	12F/2	NZ_CPPE01000014.1	34781	52706	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CPPE01000014.1&start=34781&end=52706
Streptococcus	Unknown	12F/2	NZ_CPPE01000023.1	4989	27980	lanthipeptide-class-ii	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CPPE01000023.1&start=4989&end=27980
Streptococcus	Unknown	12F/2	NZ_CPPE01000035.1	5127	18223	ripp-like	false	ubericin K	12	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_CPPE01000035.1&start=5127&end=18223
Streptococcus	Unknown	12F/2	NZ_CPPE01000060.1	0	5529	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CPPE01000060.1&start=0&end=5529
